"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 10 14:02:30 GMT 2023","Mon Jul 10 14:02:38 GMT 2023","7708","tests","test_decorator","","","","test_decorator_steps",""
"passed","Mon Jul 10 14:02:38 GMT 2023","Mon Jul 10 14:02:44 GMT 2023","5939","tests","test_lambda","","","","test_dynamic_steps",""
"passed","Mon Jul 10 14:02:44 GMT 2023","Mon Jul 10 14:02:49 GMT 2023","4913","tests","test_selene","","","","test_github",""
