"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 20 16:25:23 GMT 2023","Thu Jul 20 16:25:30 GMT 2023","6634","tests","test_decorator","","","","test_decorator_steps",""
"passed","Thu Jul 20 16:25:35 GMT 2023","Thu Jul 20 16:25:39 GMT 2023","4345","tests","test_selene","","","","test_github",""
"passed","Thu Jul 20 16:25:30 GMT 2023","Thu Jul 20 16:25:34 GMT 2023","4280","tests","test_lambda","","","","test_dynamic_steps",""
